"terrain_ruggedness_index","sws_mean","o2_mean","si_mean","thetao_mean"
0,0,280,10,6
10,0.1,290,10,6
10,0.1,290,10,6
10,0.1,280,10,6
0,0,290,10,6
0,0,290,10,6
30,0.1,300,0,6
10,0,290,10,4
10,0,290,10,4
10,0,290,10,6
10,0,290,10,6
10,0,290,10,2
10,0,300,10,2
10,0,300,10,2
10,0.1,300,10,4
0,0,310,10,0
10,0,300,10,0
0,0.1,310,10,2
10,0.1,300,10,2
10,0.1,290,10,4
10,0.1,290,10,4
0,0,290,10,4
20,0.1,290,10,4
0,0,290,10,4
0,0,290,10,4
0,0,290,10,4
10,0,290,10,4
10,0,290,10,4
10,0,290,10,6
10,0,290,10,6
10,0,290,10,6
10,0,290,10,6
10,0,280,10,4
10,0,280,10,4
0,0,280,10,4
0,0,280,10,4
10,0,290,10,4
10,0,290,10,4
10,0,290,10,4
10,0,290,10,4
10,0.1,280,10,4
10,0.1,280,10,4
0,0,290,10,6
0,0,290,10,6
0,0,290,10,6
10,0,300,10,4
90,0.1,310,10,4
20,0.1,300,10,2
40,0.1,300,10,2
40,0.1,300,10,2
40,0.1,300,10,2
40,0.1,300,10,2
20,0.1,300,10,2
10,0,300,10,2
10,0,300,10,2
70,0.1,300,10,2
70,0.1,300,10,2
70,0.1,300,10,2
70,0.1,300,10,2
20,0,300,10,2
20,0,300,10,2
10,0,300,10,2
10,0,300,10,0
10,0,300,10,0
30,0,310,0,2
20,0.1,300,10,4
80,0.1,310,0,4
80,0.1,310,0,4
70,0.1,300,10,4
70,0.1,300,10,4
70,0.1,300,10,4
40,0.1,310,10,4
110,0.2,290,10,4
10,0.1,300,10,4
10,0,300,10,4
0,0,300,10,0
20,0,310,10,0
20,0,300,10,0
10,0,300,10,0
10,0,310,10,2
40,0,300,10,0
40,0,300,10,0
20,0,300,10,2
40,0,300,10,2
10,0,290,10,0
50,0.1,300,10,4
50,0.1,300,10,4
220,0.2,300,10,4
220,0.2,300,10,4
220,0.2,300,10,4
10,0,300,10,4
10,0,300,10,4
30,0,280,10,6
30,0,280,10,6
30,0,280,10,6
30,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
10,0,280,10,6
20,0,280,10,6
20,0,280,10,6
20,0,280,10,6
20,0,290,10,4
10,0,290,10,4
10,0,290,10,4
0,0,290,10,4
0,0,290,10,4
0,0,290,10,4
10,0,290,10,4
0,0,290,10,6
0,0,290,10,6
0,0,290,10,6
0,0,290,10,6
0,0,290,10,6
10,0,290,10,6
10,0,290,10,6
10,0,290,10,6
20,0.1,280,10,4
0,0,290,10,4
0,0,290,10,4
0,0,280,10,4
0,0,280,10,4
10,0,290,10,4
10,0,290,10,4
0,0,290,10,4
20,0,290,10,2
10,0,290,10,4
10,0,290,10,4
10,0,290,10,4
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,280,10,6
0,0,290,10,4
0,0,290,10,4
0,0,290,10,4
10,0,300,10,4
10,0.1,300,10,2
250,0.1,300,10,2
250,0.1,300,10,2
250,0.1,300,10,2
10,0,300,10,2
10,0,300,10,2
10,0,300,10,2
10,0,300,10,2
0,0,290,10,6
0,0,290,10,6
10,0,290,10,4
10,0,290,10,4
20,0,300,10,4
10,0,300,10,2
10,0.1,290,10,6
10,0.1,290,10,6
10,0.1,290,10,6
0,0,290,10,4
0,0,290,10,2
0,0,290,10,2
0,0,310,10,2
10,0,300,10,2
10,0.1,300,10,4
10,0.1,300,10,4
0,0.1,310,10,2
20,0,300,10,2
10,0.1,300,10,2
10,0.1,290,10,4
10,0,290,10,2
0,0,290,10,4
0,0,290,10,4
20,0,300,10,4
10,0,300,10,2
10,0,320,10,0
10,0,320,10,0
0,0,300,10,2
0,0,300,10,2
10,0,310,10,2
20,0,310,10,0
20,0,310,10,0
